sub_f_005.acq
1 msec/sample
15 channels
Corr Raw
mV
Zyg Raw
mV
Lev Raw
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Corr Processed
Volts
Zyg Processed
Volts
Lev Processed
Volts
Marker
Volts
CH1,CH2,CH3,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH40,CH41,CH42,CH43,
2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,2054992,
-0.00384521,-0.0012207,0.000610352,0,0,0,0,0,0,0,0,4.8883,1.02357,0.135157,0,
-0.0043335,0,0.00305176,0,0,0,0,0,0,0,0,4.69164,1.02662,0.126583,0,
-0.0067749,-0.000671387,-0.00488281,0,0,0,0,0,0,0,0,4.55239,0.99988,0.124935,0,
-0.00469971,-0.0010376,0.000610352,0,0,0,0,0,0,0,0,4.53008,1.00154,0.126477,0,
0.000793457,-0.00274658,0.00518799,0,0,0,0,0,0,0,0,4.5437,1.04524,0.132626,0,
0.00500488,-0.00421143,0.0158691,0,0,0,0,0,0,0,0,4.41476,1.02011,0.133992,0,
0.00158691,-0.000427246,0.027771,0,0,0,0,0,0,0,0,4.22648,0.993257,0.11999,0,
0.00274658,0.0022583,0.00274658,0,0,0,0,0,0,0,0,4.19097,0.969408,0.108434,0,
0.0108643,0.00299072,-0.0219727,0,0,0,0,0,0,0,0,4.16689,0.940262,0.0981047,0,
0.00616455,0.00134277,-0.0177002,0,0,0,0,0,0,0,0,4.12181,0.884872,0.0935788,0,
0.00616455,-0.000915527,-0.0286865,0,0,0,0,0,0,0,0,4.16025,0.857338,0.0938076,0,
0.00469971,-0.00219727,-0.0308228,0,0,0,0,0,0,0,0,4.0856,0.859631,0.0913153,0,
-0.000854492,-0.00115967,-0.0228882,0,0,0,0,0,0,0,0,4.14858,0.836272,0.0852634,0,
-0.00610352,-0.000549316,-0.0219727,0,0,0,0,0,0,0,0,4.13745,0.841099,0.0803768,0,
-0.00268555,0,-0.012207,0,0,0,0,0,0,0,0,4.19371,0.902071,0.0782378,0,
-0.00292969,0.000793457,0.0186157,0,0,0,0,0,0,0,0,4.11932,0.937924,0.0774697,0,
-0.00286865,0.0010376,0.0378418,0,0,0,0,0,0,0,0,4.13064,0.838095,0.0715346,0,
-0.00292969,-0.000244141,0.0341797,0,0,0,0,0,0,0,0,4.11445,0.781999,0.0814156,0,
-0.00250244,-0.000549316,0.0170898,0,0,0,0,0,0,0,0,4.05917,0.760876,0.0811643,0,
-0.00341797,-0.00476074,0.0100708,0,0,0,0,0,0,0,0,4.02299,0.793611,0.0819647,0,
-0.00231934,-0.00683594,0.00396729,0,0,0,0,0,0,0,0,4.17424,0.805062,0.0753767,0,
-0.00274658,-0.00701904,-0.00366211,0,0,0,0,0,0,0,0,3.99231,0.722374,0.0692411,0,
-0.00415039,-0.00756836,-0.00640869,0,0,0,0,0,0,0,0,3.96546,0.698937,0.067184,0,
-0.00250244,-0.00811768,-0.0146484,0,0,0,0,0,0,0,0,3.98429,0.654312,0.069741,0,
0.00128174,-0.00567627,-0.0125122,0,0,0,0,0,0,0,0,3.79089,0.617045,0.0639223,0,
0.00518799,-0.00390625,-0.00915527,0,0,0,0,0,0,0,0,3.51053,0.652429,0.0644402,0,
6.10352E-05,-0.00469971,-0.00823975,0,0,0,0,0,0,0,0,3.25892,0.701696,0.0663563,0,
-0.00665283,-0.00622559,-0.0125122,0,0,0,0,0,0,0,0,3.23356,0.67457,0.0655721,0,
-0.00561523,-0.00671387,-0.015564,0,0,0,0,0,0,0,0,3.18865,0.708141,0.065909,0,
-0.00286865,-0.00543213,-0.0167847,0,0,0,0,0,0,0,0,2.88575,0.743995,0.06589,0,
-0.00134277,-0.00421143,-0.0128174,0,0,0,0,0,0,0,0,2.50518,0.7912,0.0639647,0,
0.000610352,-0.00372314,-0.0106812,0,0,0,0,0,0,0,0,2.40589,0.796927,0.0697162,0,
0.00817871,-0.00378418,-0.00244141,0,0,0,0,0,0,0,0,2.5623,0.831734,0.0686569,0,
0.0124512,-0.00219727,-0.00457764,0,0,0,0,0,0,0,0,2.72108,0.867873,0.0711733,0,
0.0057373,-0.00384521,-0.00732422,0,0,0,0,0,0,0,0,2.54748,0.875358,0.0745171,0,
0.00140381,-0.00274658,-0.00366211,0,0,0,0,0,0,0,0,2.32792,0.925048,0.0758845,0,
0.00170898,-0.0012207,0.00488281,0,0,0,0,0,0,0,0,2.31708,0.999217,0.0748458,0,
-0.000549316,0.00183105,0.0131226,0,0,0,0,0,0,0,0,2.32412,1.00105,0.0717547,0,
6.10352E-05,0.00109863,0.00793457,0,0,0,0,0,0,0,0,2.42792,0.932207,0.0776569,0,
0.00567627,-0.000366211,0.00183105,0,0,0,0,0,0,0,0,2.52208,0.917615,0.0797413,0,
0.000610352,-0.00134277,0.000305176,0,0,0,0,0,0,0,0,2.61277,0.920763,0.0805064,0,
-0.00390625,0.00134277,0.0140381,0,0,0,0,0,0,0,0,2.98837,0.953333,0.081511,0,
